"1","0","Главная страница","main","index","<p>Добро пожаловать в Ronny CMS!</p>","заглавная страница","главная страница page pages to4ka programming team","821","0","1309289076","1406013520"
"2","1","Управление","department","full_list",,,"Департамент региональной безопаности Костромской области","1341","0","1310193686","1345727690"
"3","2","Структура","structure","default","<p align=""center""><img border=""0"" alt="""" src=""/files/images/strukt.png"" /></p>
<p align=""center""><b>Итого:</b> государственных гражданских служащих -&nbsp;<b>23</b> единицы.</p>
<p align=""center""><br />
<table width=""95%"" cellpadding=""5"" border=""1"" style=""text-align: center;"">
    <tbody>
        <tr>
            <td width=""200px"" style=""text-align: center;""><b>Название отдела</b></td>
            <td style=""text-align: center;""><b>Начальник отдела</b></td>
            <td style=""text-align: center;""><b>Телефон</b></td>
        </tr>
        <tr>
            <td style=""text-align: center;"">Отдел по развитию системы &quot;112&quot; и обеспечению пожарной безопасности на территории Костромской области</td>
            <td>
            <div style=""text-align: center;""><b style=""font-size: small;"">Кокурин Алексей&nbsp;Викторович</b></div>
            <div style=""text-align: center;""><img border=""0"" alt="""" style=""font-size: 9pt;"" src=""/files/images/DSC02837.JPG"" /></div>
            </td>
            <td style=""text-align: center;"">+7 (4942) 399-460</td>
        </tr>
        <tr>
            <td style=""text-align: center;"">Отдел мероприятий гражданской обороны</td>
            <td>
            <div style=""text-align: center;""><span style=""font-size: 9pt;""><b>Киселёв Евгений Павлович</b></span></div>
            <div style=""text-align: center;""><img border=""0"" alt="""" style=""font-size: 9pt;"" src=""/files/images/IMG_3279.JPG"" /></div>
            </td>
            <td style=""text-align: center;"">+7 (4942) 399-416</td>
        </tr>
        <tr>
            <td style=""text-align: center;"">Отдел координации и взаимодействия в составе единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций</td>
            <td>
            <div style=""text-align: center;""><b style=""font-size: small;"">Тимофеев Денис Владимирович</b></div>
            <div style=""text-align: center;""><b style=""font-size: small;""><img border=""0"" alt="""" src=""/files/images/DSC03316.JPG"" /><br />
            </b></div>
            </td>
            <td style=""text-align: center;"">+7 (4942) 399-444</td>
        </tr>
        <tr>
            <td style=""text-align: center;"">Отдел бухгалтерского учёта и отчетности</td>
            <td>
